time,open,high,low,close,Plot,S3 Early,S3 Confirmed,S1 Early,S1 Confirmed
1778520600,193.7,197.01,193.06,195.94,195.94,0,0,0,0
1778592600,191.325,192.22,179.86,183.71,183.71,0,0,0,0
1778607000,183.65,185.36,182.2,184.42,184.42,0,0,0,0
1778679000,182.31,182.47,175.57,179.8,179.8,0,0,0,0
1778693400,179.88,181.63,177.96,178,178,0,0,0,0
1778765400,177.85,193,174.71,189.68,189.68,0,0,0,0
1778779800,189.46,192.39,186.34,186.93,186.93,0,0,0,0
1778851800,182.2,182.22,173.6,175.5,175.5,0,0,0,0
1778866200,175.67,180.48,175.67,177.36,177.36,0,0,0,0
1779111000,168.22,169.05,162.01,165.205,165.205,0,0,0,0
1779125400,165.16,166.79,162.5,166.66,166.66,0,0,0,0
1779197400,163.93,168.49,163.5,167,167,0,0,0,0
1779211800,166.91,167.27,164.46,164.66,164.66,0,0,0,0
1779283800,165.86,168.75,163.3,168.3,168.3,0,0,0,0
1779298200,168.42,169.22,165.5,165.89,165.89,0,0,0,0
1779370200,164.36,168.7,162,168.06,168.06,0,0,0,0
1779384600,168.03,168.22,164.04,164.83,164.83,0,0,0,0
1779456600,164.32,165.66,159.4,163.69,163.69,0,0,0,0
1779471000,163.9,164.1,159.26,159.87,159.87,0,0,0,0
1779802200,161,166.98,160.78,161.39,161.39,0,0,0,0
1779816600,161.4,161.63,159.28,159.96,159.96,0,0,0,0
1779888600,156.52,157.5,154.33,154.71,154.71,0,0,0,0
1779903000,154.74,155.6,153.84,154.15,154.15,0,0,0,0
1779975000,148.98,152.33,144.3,152.3,152.3,0,0,0,0
1779989400,152.32,153.64,150.69,151.61,151.61,0,0,0,0
1780061400,149.96,162.07,148.2,161.24,161.24,0,0,0,0
1780075800,161.26,161.855,157.79,159.21,159.21,0,0,0,0
1780320600,148.46,153.36,144.3,153.08,153.08,0,0,0,0
1780335000,153.16,153.87,149.43,149.76,149.76,0,0,0,0
1780407000,142.685,142.85,134.13,137.66,137.66,0,0,0,0
1780421400,137.61,138,134.13,136.1,136.1,0,0,0,0
