time,open,high,low,close,S3 Early,S3 Confirmed,S1 Early,S1 Confirmed
1752154200,412.5,419.5,411.26,419.47,0,0,0,0
1752168600,419.34,422.4,416.88,421.74,0,0,0,0
1752240600,430.74,438.85,423.41,431.76,0,0,0,0
1752255000,431.77,435,425.92,434.58,0,0,0,0
1752499800,447.07,456.44,440.65,448.7,0,0,0,0
1752514200,448.82,451.98,445,451.24,0,0,0,0
1752586200,445.05,456.66,441.04,448.13,0,0,0,0
1752600600,448.15,451.3,441.25,441.91,0,0,0,0
1752672600,448.48,455.04,445.6,453.5,0,0,0,0
1752687000,453.59,457.22,450.45,455.86,0,0,0,0
1752759000,451.57,456.03,446.6,450.53,0,0,0,0
